668179774746021889;Pierre_chk;C'était oklm petite virée en vlille à 4 degrés et de la pluie mdr;Sat Nov 21 22:30:47 CET 2015;vlille;4
667793482162028544;Zoe_Brg;j'hésite à venir en vlille c'est moins risqué que le métro;Fri Nov 20 20:55:47 CET 2015;vlille;2
668698056049709056;Cyclocastor;Prévoyez aussi un grattoir pour dégeler la selle et pas faire votre trajet debout sur le vélo;Mon Nov 23 08:50:15 CET 2015;vlille;0
667995488017375232;Amir_Mifta;Jbouge en vlille ajd;Sat Nov 21 10:18:29 CET 2015;vlille;4
671599140330147840;ParisFranceNews;L'intégralité du discours de François Hollande pour l'ouverture de la COP21 - ;Tue Dec 01 08:58:07 CET 2015;hollande;2
668697400664596480;Cyclocastor;Si vous avez prévu de prendre un vlille ce matin prévoyez quelques minutes pour dégivrer le bouton pour délivrer le vélo;Mon Nov 23 08:47:38 CET 2015;vlille;0
667382078527438850;phildet61;Les joies du VLille sous la pluie trempé;Thu Nov 19 17:41:01 CET 2015;vlille;4
669914580756381696;Natan_Coonen;J'ai lu qu'il devait y avoir une station à l'union près du  ;Thu Nov 26 17:24:17 CET 2015;vlille;2
668330142289276928;Bartiz59;Y a qu'un pour prendre l'autoroute en vlille quand il s'est perdu bah ce con c'est moi;Sun Nov 22 08:28:17 CET 2015;vlille;0
668773044664578048;Zakaima;vous seriez étonné de savoir le nombre de jeune de banlieue qui joue à Fifa avec l'équipe de France;Mon Nov 23 13:48:13 CET 2015;equipe de france;4
671639940837543936;Midilibre; la vidéo des deux poids-lourds quelques minutes après la collision ;Tue Dec 01 11:40:15 CET 2015;poids;2
668772556137172992;TonyPicot;Benzema c'est chaud, il est dans tout les problèmes qui parle de cul en équipe de France;Mon Nov 23 13:46:17 CET 2015;equipe de france;0
668768054155812865;imahassan;Félicitations à l'équipe je souhaite pour ce groupe de leaders très bonne chance;Mon Nov 23 13:28:23 CET 2015;equipe de france;4
671639620703141888;JNzenze;Nissan à la manoeuvre pour renforcer son poids chez Renault face à l'Etat français ;Tue Dec 01 11:38:58 CET 2015;poids;2
668770648282546177;MlpPresidente1;Quel trou du cul ce pauvre type. Mais bon, on ne le verra plus en équipe de France;Mon Nov 23 13:38:42 CET 2015;equipe de france;0
668782206446268418;infonews7;Argentine le libéral Mauricio Macri vainqueur de la présidentielle;Mon Nov 23 14:24:38 CET 2015;élection présidentielle;4
671638416187138048;yactusfrance;Nissan à la manoeuvre pour renforcer son poids chez Renault face à l'Etat français ;Tue Dec 01 11:34:11 CET 2015;poids;2
