668698056049709056;Cyclocastor;Prévoyez aussi un grattoir pour dégeler la selle et pas faire votre trajet debout sur le vélo;Mon Nov 23 08:50:15 CET 2015;vlille;0
668697400664596480;Cyclocastor;Si vous avez prévu de prendre un vlille ce matin prévoyez quelques minutes pour dégivrer le bouton pour délivrer le vélo;Mon Nov 23 08:47:38 CET 2015;vlille;0
668330142289276928;Bartiz59;Y a qu'un pour prendre l'autoroute en vlille quand il s'est perdu bah ce con c'est moi;Sun Nov 22 08:28:17 CET 2015;vlille;0
668179774746021889;Pierre_chk;C'était oklm petite virée en vlille à 4 degrés et de la pluie mdr;Sat Nov 21 22:30:47 CET 2015;vlille;4
667995488017375232;Amir_Mifta;Jbouge en vlille ajd;Sat Nov 21 10:18:29 CET 2015;vlille;4
667793482162028544;Zoe_Brg;j'hésite à venir en vlille c'est moins risqué que le métro;Fri Nov 20 20:55:47 CET 2015;vlille;2
667382078527438850;phildet61;Les joies du VLille sous la pluie trempé;Thu Nov 19 17:41:01 CET 2015;vlille;4
668773044664578048;Zakaima;vous seriez étonné de savoir le nombre de jeune de banlieue qui joue à Fifa avec l'équipe de France;Mon Nov 23 13:48:13 CET 2015;equipe de france;4
668772556137172992;TonyPicot;Benzema c'est chaud, il est dans tout les problèmes qui parle de cul en équipe de France;Mon Nov 23 13:46:17 CET 2015;equipe de france;0
668770648282546177;MlpPresidente1;Quel trou du cul ce pauvre type. Mais bon, on ne le verra plus en équipe de France;Mon Nov 23 13:38:42 CET 2015;equipe de france;0
668768054155812865;imahassan;Félicitations à l'équipe je souhaite pour ce groupe de leaders très bonne chance;Mon Nov 23 13:28:23 CET 2015;equipe de france;4
668775830932365312;Afondballon;je voulais venir en survet équipe de France mon groupe m'a dit meme pas en reve ( point sur la tenue );Mon Nov 23 13:59:18 CET 2015;equipe de france;0
668775375938392064;bocairent54;ils devrait chanter la marseillaise et les autres aussi sinon ils ne jouent plus en equipe de france;Mon Nov 23 13:57:29 CET 2015;equipe de france;0
668782206446268418;infonews7;Argentine le libéral Mauricio Macri vainqueur de la présidentielle;Mon Nov 23 14:24:38 CET 2015;élection présidentielle;4
